"BUR24" "BUR6" "BURU" "FB24" "FB6" "FBU" "OVD24" "OVD6" "OVDU" "PO24" "PO6" "POU" "SR24" "SR6" "SRU" "ST24" "ST6" "STU" "WF"
"FBgn0036373" 4.2557836709332 3.97212239580551 4.25835974198498 2.37276020423963 3.176522626573 3.51318014998759 4.42380978211521 3.96053908339698 4.31828447767671 4.78193349625833 4.65775619285194 4.82412289584526 3.94394743274172 3.91440980733416 4.0467941269762 4.3859475919908 4.51022617028815 4.69494957332956 5.02888015218598
"FBgn0036374" 2.15271825120507 2.02839147821463 2.46746581133783 0.965972343029376 1.63198183390425 1.05190023762094 3.4510825957127 2.28195407736237 3.12688477933899 3.44842478226726 3.141371974083 3.35626475313669 2.56237766891747 2.82419001337928 2.65505763359773 3.17159640891095 3.14275716027563 3.05362498917143 4.21425097483232
"FBgn0036377" 3.19374573906828 3.77639094929988 3.06646758682061 0 0.0946517267880485 0.122888189448818 2.14136929569898 2.13415555687042 1.96680703522322 0.740012404118061 1.04319828505983 0.527179238694532 2.47776212049516 3.41578842736371 2.23357994282841 0.803044440063495 0.981963971230621 0.434330295706061 0.218330480050084
"FBgn0036376" 4.72304646567344 4.66473525512812 4.90919201874804 2.61437192817036 3.57954217222595 2.74896367546298 4.9187876268417 4.66407745789013 5.08016047662953 4.95136973357361 4.65993917837291 4.89316703888813 4.83356958166712 4.70507308707222 4.90195300762163 4.95791685567719 4.84476991098189 4.80490299021193 4.41837348202391
"FBgn0051908" 5.05866748264249 5.12641513389752 5.18739691362291 4.33847940751668 5.09219118425815 5.17791311543821 5.25288742468024 5.33308656415586 5.36402692237886 5.1732683244886 5.10827633567384 5.17073119442859 4.93042831260182 5.18410293355963 5.11684721577087 5.34401060794506 5.46333067920921 5.50966640886196 5.63749689156995
"FBgn0051729" 6.80377875480203 6.415248025779 6.91783150299985 4.44637159692212 5.4125846700306 5.56262511899759 6.96683311244006 6.75468580978393 6.81395300372578 7.21701752637818 6.92372303954773 7.19118930645308 6.79312599640887 6.8578343587365 6.94582580075841 7.63330437695271 7.65197669930384 7.84749235866919 5.7583631379305
"FBgn0005617" 2.4251411943061 2.24919471809172 2.70349005548898 1.26725051917815 1.92376036498541 1.24965713411201 3.29973284493484 2.51532533387161 3.25519550003518 3.28705709226805 2.86613357219215 3.06379459223007 2.83821851056472 2.61537254949419 2.78680457602359 3.19618800193637 2.65418957675925 2.47498372659182 3.93795883074058
"FBgn0005612" 2.88058488445229 2.26828427578368 3.10942824698604 2.80797590635308 3.35622399333591 2.91352146094858 4.27785722894562 3.08337874334067 3.90657931059027 4.11972390936964 3.59846122660473 4.10588643928215 3.35686963751115 3.03339668953272 3.57223793171795 3.68933874802829 3.56455325176386 3.34699054211619 2.44378194275743
"FBgn0025809" 3.59602076953886 3.2797457054034 3.5371137905822 1.20927372254326 2.03348101743369 1.42252684141491 3.83015925466036 3.82967978248479 3.75868101970893 3.63298275827154 3.37213551593165 3.54966906339164 3.61611477989163 3.42026307683985 3.4361837809712 3.23279753888073 3.2330006057193 3.11630398323569 3.0144889178728
"FBgn0027338" 7.00425297669491 7.05359634332688 7.1412802975466 6.22359669085641 7.62593740308126 7.6086589089683 7.24867361875954 7.23111065165689 7.22643928779135 7.23805104674564 6.98994132925214 7.25384107922898 6.96117025029812 6.95844630365695 7.05521286924477 7.40121230818114 7.34441596095777 7.5775263294899 7.35526065803403
"FBgn0039419" 2.78613921686889 2.77494759114637 2.80513011885932 1.49156955712056 1.01894646683262 0.640884999635053 3.13648942562393 2.67342026609203 2.62484958238713 2.92217813544704 2.60889103809619 2.47689298330769 1.42362809717745 1.51612066499621 1.29712588120255 1.39947923380557 1.51845933871356 0.957409502299972 0.812261271928525
"FBgn0262353" 4.45959108231166 4.59425260910006 4.19878038965995 6.32064945407072 5.09474152541234 6.80860372840187 3.47041428741775 3.57113111834438 3.27769078364185 3.38529262819909 2.9710625587813 3.60428578719371 4.1017588161515 3.97293029092919 3.62712302105942 2.61962964133567 2.55355159958215 2.52477997133366 1.00826508729639
"FBgn0260933" 1.5378065125151 2.00838460066193 1.95935851166892 0.66289550888256 0.38347814960088 0 0.757128622064856 0.763629139418439 1.05121642401286 0.967968046933937 0.591005957831647 0.961243147757311 0.785887414423815 1.00636548198466 1.43841629514249 1.07768551824154 0.979623600833226 1.40376449414402 1.50943057903075
"FBgn0035876" 2.35579005176419 2.16922262539234 2.18698672043674 3.17920863637986 3.36005422571026 3.61659710236929 2.28245613749001 2.20514932519998 2.18253293337612 3.06816743233343 3.24390500688434 3.05285348155006 2.61327789235076 2.68700691994301 2.50376873401161 2.77985281081691 3.21712641265795 2.85511149073972 2.79643717095557
"FBgn0035875" 0.645163043838831 0.329532584178183 1.08707542440606 0 0 0 0.202147063837592 0.104596682441072 0.445389442213135 2.08466643669544 1.69448131204884 1.95447185082232 0.487226939077142 0.300386735959897 0.702656719572646 5.26463800485466 4.00230601665899 5.12667958416466 0
