"FBgn" "Testis" "AG" "Gut" "Carcass" "OvaryAvg" "HeadAvg" "maxME" "tissuemaxME"
"FBgn0000116" 7.19967234483636 6.52356195605701 8.16490692667569 8.21431912080077 6.44294349584873 8.02236781302845 4 "Carcass"
"FBgn0000117" 5.35755200461808 5.78135971352466 5.4594316186373 5.08746284125034 7.15987133677839 6.24317398347295 5 "Ovary"
"FBgn0000119" 3.32192809488736 2.32192809488736 2.32192809488736 2 2.8073549220576 2.58496250072116 1 "Testis"
"FBgn0000120" 3.32192809488736 1.58496250072116 0 1.58496250072116 0.584962500721156 10.1630206395808 6 "Head"
"FBgn0000121" 2.58496250072116 1.58496250072116 1 2.8073549220576 1 11.3161400841221 6 "Head"
"FBgn0000137" 0 0 0 0 0 0 1 "NoData"
"FBgn0000139" 3 3 2.32192809488736 2 4.04439411935845 2.4594316186373 5 "Ovary"
"FBgn0000140" 3.4594316186373 2 1.58496250072116 2 6.01122725542325 0 5 "Ovary"
"FBgn0000146" 2.32192809488736 1 1.58496250072116 1 4.95419631038687 0 5 "Ovary"
"FBgn0000147" 6 3.4594316186373 1.58496250072116 1.58496250072116 5.22881869049588 1 1 "Testis"
"FBgn0000150" 9.45121111183233 9.37068740680722 8.56224242422107 8.41362792902417 9.96289600533726 8.18115225686557 5 "Ovary"
"FBgn0000152" 1 2 1.58496250072116 1.58496250072116 3 2 5 "Ovary"
"FBgn0000153" 1 0 0 4.39231742277876 0 2.70043971814109 4 "Carcass"
"FBgn0000157" 0 0 0 2 0 2.52356195605701 6 "Head"
"FBgn0000158" 1 1 1 1 5.53915881110803 0 5 "Ovary"
"FBgn0000163" 1.58496250072116 1.58496250072116 2.32192809488736 2.32192809488736 3.08746284125034 2.32192809488736 5 "Ovary"
"FBgn0000166" 0 0 1.58496250072116 2 5.76818432477693 0 5 "Ovary"
"FBgn0000173" 4.16992500144231 5.04439411935845 5.7279204545632 5.32192809488736 6.71424551766612 6.12928301694497 5 "Ovary"
"FBgn0000179" 1 1 0 1 0 3.35755200461808 6 "Head"
"FBgn0000180" 1 1 1 1 0 2 6 "Head"
"FBgn0000181" 8.68650052718322 9.26209484537018 7.82654848729092 7.89481776330794 9.34762136856813 7.94397991434374 5 "Ovary"
"FBgn0000182" 6.08746284125034 4.08746284125034 4.08746284125034 4.58496250072116 8.98441845880114 0.321928094887362 5 "Ovary"
"FBgn0000183" 3.32192809488736 4.24792751344359 4.16992500144231 3.8073549220576 6.05528243550119 4.44294349584873 5 "Ovary"
"FBgn0000206" 1.58496250072116 0 0 0 0 5.38370429247405 6 "Head"
"FBgn0000210" 0 2.58496250072116 1 1 1.58496250072116 2.4594316186373 2 "AG"
"FBgn0000212" 2 3.70043971814109 3.58496250072116 3.8073549220576 5.97727992349992 4.20945336562895 5 "Ovary"
"FBgn0000216" 0 1 0 1 0 0.584962500721156 2 "AG"
"FBgn0000221" 3.90689059560852 2 2 1 3.39231742277876 1.8073549220576 1 "Testis"
"FBgn0000227" 0 0 0 0 0 0 1 "NoData"
"FBgn0000228" 1.58496250072116 4.32192809488736 3.16992500144231 3.58496250072116 5.5077946401987 3.88264304936184 5 "Ovary"
"FBgn0000229" 2.32192809488736 2.8073549220576 3.70043971814109 2.8073549220576 2 4.95419631038687 6 "Head"
"FBgn0000233" 0 0 0 0 0 0 1 "NoData"
"FBgn0000239" 4.90689059560852 4.4594316186373 4.32192809488736 4.8073549220576 6.75488750216347 4.85798099512757 5 "Ovary"
"FBgn0000241" 1 0 1 0 0 2.95419631038688 6 "Head"
"FBgn0000244" 1.58496250072116 3.8073549220576 3.70043971814109 3.8073549220576 1.8073549220576 3.75488750216347 2 "AG"
"FBgn0000246" 1 1.58496250072116 2 2 5.55458885167764 1.8073549220576 5 "Ovary"
"FBgn0000247" 3.58496250072116 3.32192809488736 3 3.32192809488736 4.58496250072116 3.58496250072116 5 "Ovary"
"FBgn0000250" 3.70043971814109 4.24792751344359 5.04439411935845 5.58496250072116 6.98868468677217 5.44294349584873 5 "Ovary"
"FBgn0000251" 5.08746284125034 4.4594316186373 6.10852445677817 4 7.84862294042934 0.807354922057604 5 "Ovary"
"FBgn0000253" 5.28540221886225 6.93073733756289 8.24317398347295 7.4262647547021 7.93369065495223 9.99964773652837 6 "Head"
"FBgn0000256" 6.20945336562895 4.4594316186373 3.4594316186373 2 3 3.20945336562895 1 "Testis"
"FBgn0000257" 3.16992500144231 2.32192809488736 2 1.58496250072116 3.64385618977472 2.32192809488736 5 "Ovary"
"FBgn0000259" 4.58496250072116 6.02236781302845 5.4594316186373 5.4594316186373 6.73470962022584 6.12412131182919 5 "Ovary"
"FBgn0000261" 6.8073549220576 5.61470984411521 7.51569983828404 7.93073733756289 4.4262647547021 6.41362792902417 4 "Carcass"
"FBgn0000273" 1.58496250072116 4.70043971814109 5 5.28540221886225 5.5077946401987 6.35314682549808 6 "Head"
"FBgn0000274" 6.2667865406949 3.8073549220576 1 0 1 0 1 "Testis"
"FBgn0000276" 6.18982455888002 9.34207466799914 4.70043971814109 7.48381577726426 1.32192809488736 5.4757334309664 2 "AG"
"FBgn0000277" 0 2.8073549220576 1 4.75488750216347 0.584962500721156 3.20945336562895 4 "Carcass"
"FBgn0000278" 0 0 0 2.32192809488736 0 1.32192809488736 4 "Carcass"
"FBgn0000279" 0 1.58496250072116 1 5.58496250072116 0.584962500721156 3.28540221886225 4 "Carcass"
"FBgn0000280" 0 0 0 0 0 0 1 "NoData"
"FBgn0000281" 0 1 0 0 0 0 2 "AG"
"FBgn0000283" 2.58496250072116 4.58496250072116 5.04439411935845 5.16992500144231 7.89178370321831 5.43462822763672 5 "Ovary"
"FBgn0000286" 3.16992500144231 3.90689059560852 3.70043971814109 4.32192809488736 5.24792751344359 4.39231742277876 5 "Ovary"
"FBgn0000287" 5.08746284125034 2.8073549220576 0 1 0 2 1 "Testis"
"FBgn0000289" 3.32192809488736 3.90689059560852 3.58496250072116 4.16992500144231 5.94251450533924 5.4262647547021 5 "Ovary"
"FBgn0000299" 2.58496250072116 3.16992500144231 3.8073549220576 6.76818432477693 4.49185309632967 6.52356195605701 4 "Carcass"
"FBgn0000303" 0 0 0 1 0 4.35755200461808 6 "Head"
"FBgn0000307" 1 2.8073549220576 3.16992500144231 3.4594316186373 6.15987133677839 4.12928301694497 5 "Ovary"
"FBgn0000308" 6.59991284218713 6.8703647195834 7.79441586635011 6.85798099512757 7.29920801838728 7.05799172275918 3 "Gut"
"FBgn0000313" 1 3.58496250072116 0 1 0 8.78626962764847 6 "Head"
"FBgn0000316" 2.32192809488736 2.8073549220576 2.8073549220576 2.8073549220576 5.12928301694497 3 5 "Ovary"
"FBgn0000317" 0 2.58496250072116 3 2.32192809488736 3.95419631038688 2.16992500144231 5 "Ovary"
"FBgn0000318" 8.18487534290828 6.16992500144231 7.23840473932508 5.4594316186373 6.54689445988764 5.61470984411521 1 "Testis"
"FBgn0000319" 4.32192809488736 5.39231742277876 5.6724253419715 5.39231742277876 6.38370429247405 5.71424551766612 5 "Ovary"
"FBgn0000320" 4.39231742277876 2.32192809488736 0 1 2 3.64385618977472 1 "Testis"
"FBgn0000326" 1 1 2.58496250072116 2.58496250072116 3.24792751344359 2.75488750216347 5 "Ovary"
"FBgn0000330" 2.32192809488736 2.32192809488736 2 2 3.4594316186373 2.4594316186373 5 "Ovary"
"FBgn0000337" 1 0 0 0 0 0 1 "Testis"
"FBgn0000339" 4.90689059560852 3.4594316186373 4 3.8073549220576 4.7279204545632 3.61470984411521 1 "Testis"
"FBgn0000346" 3.4594316186373 2 0 2.32192809488736 1.8073549220576 5.34872815423108 6 "Head"
"FBgn0000351" 1 1.58496250072116 1 1 5.35755200461808 0 5 "Ovary"
"FBgn0000352" 2.32192809488736 1.58496250072116 1.58496250072116 2 5.12928301694497 3.39231742277876 5 "Ovary"
