CG11350	CG11350	FBgn0035552	Drosophila melanogaster
CG11353	CG11353	FBgn0035557	Drosophila melanogaster
CG11357	CG11357	FBgn0035558	Drosophila melanogaster
CG1136	CG1136	FBgn0035490	Drosophila melanogaster
CG11362	CG11362	FBgn0034737	Drosophila melanogaster
CG11368	CG11368	FBgn0040923	Drosophila melanogaster
CG11370	CG11370	FBgn0037181	Drosophila melanogaster
CG11377	CG11377	FBgn0031217	Drosophila melanogaster
CG11378	CG11378	FBgn0040364	Drosophila melanogaster
CG11379	CG11379	FBgn0040362	Drosophila melanogaster
CG11380	CG11380	FBgn0040359	Drosophila melanogaster
CG11381	CG11381	FBgn0029568	Drosophila melanogaster
CG11382	CG11382	FBgn0040367	Drosophila melanogaster
CG11390	EbpIII	FBgn0011695	Drosophila melanogaster
CG11395	Gbp2	FBgn0034200	Drosophila melanogaster
CG11400	CG11400	FBgn0034198	Drosophila melanogaster
CG11404	CG11404	FBgn0037169	Drosophila melanogaster
CG11409	CG11409	FBgn0024366	Drosophila melanogaster
CG11411	fs(1)N	FBgn0004650	Drosophila melanogaster
CG11413	CG11413	FBgn0035022	Drosophila melanogaster
CG11421	Obp83a	FBgn0011281	Drosophila melanogaster
CG11422	Obp83b	FBgn0010403	Drosophila melanogaster
CG1143	CG1143	FBgn0035359	Drosophila melanogaster
CG11436	CG11436	FBgn0029713	Drosophila melanogaster
CG11458	CG11458	FBgn0040637	Drosophila melanogaster
CG11459	CG11459	FBgn0037396	Drosophila melanogaster
CG11470	CG11470	FBgn0039671	Drosophila melanogaster
CG1148	Osi2	FBgn0037410	Drosophila melanogaster
CG1150	Osi3	FBgn0037411	Drosophila melanogaster
CG11501	Diedel	FBgn0039666	Drosophila melanogaster
CG1151	Osi6	FBgn0027527	Drosophila melanogaster
CG11516	Ptp99A	FBgn0004369	Drosophila melanogaster
CG1152	Gld	FBgn0001112	Drosophila melanogaster
CG11527	Tig	FBgn0011722	Drosophila melanogaster
CG1153	Osi7	FBgn0037414	Drosophila melanogaster
CG1154	Osi12	FBgn0037419	Drosophila melanogaster
CG1155	Osi14	FBgn0040279	Drosophila melanogaster
CG11561	smo	FBgn0003444	Drosophila melanogaster
CG1157	Osi15	FBgn0037424	Drosophila melanogaster
CG11570	CG11570	FBgn0036230	Drosophila melanogaster
CG11575	Ir100a	FBgn0039879	Drosophila melanogaster
CG11577	CNPYb	FBgn0036847	Drosophila melanogaster
CG11581	CG11581	FBgn0030540	Drosophila melanogaster
CG11582	srw	FBgn0261952	Drosophila melanogaster
CG11584	CG11584	FBgn0030541	Drosophila melanogaster
CG11585	CG11585	FBgn0030543	Drosophila melanogaster
CG11588	CG11588	FBgn0036221	Drosophila melanogaster
CG11590	CG11590	FBgn0030545	Drosophila melanogaster
CG11592	Amnionless	FBgn0025686	Drosophila melanogaster
CG11598	CG11598	FBgn0038067	Drosophila melanogaster
CG11600	CG11600	FBgn0038068	Drosophila melanogaster
CG11608	CG11608	FBgn0038069	Drosophila melanogaster
CG1161	CG1161	FBgn0037313	Drosophila melanogaster
CG11619	CG11619	FBgn0036836	Drosophila melanogaster
CG1165	LysS	FBgn0004430	Drosophila melanogaster
CG11650	Lcp1	FBgn0002531	Drosophila melanogaster
CG11664	CG11664	FBgn0040341	Drosophila melanogaster
CG11668	CG11668	FBgn0038113	Drosophila melanogaster
CG11669	Mal-A7	FBgn0033296	Drosophila melanogaster
CG11670	CG11670	FBgn0038114	Drosophila melanogaster
CG11672	CG11672	FBgn0037563	Drosophila melanogaster
CG11674	CG11674	FBgn0030551	Drosophila melanogaster
CG1168	7B2	FBgn0041707	Drosophila melanogaster
CG1169	Osi18	FBgn0037428	Drosophila melanogaster
CG11693	CG11693	FBgn0037570	Drosophila melanogaster
CG11694	CG11694	FBgn0037571	Drosophila melanogaster
CG11697	CG11697	FBgn0030313	Drosophila melanogaster
CG11698	CG11698	FBgn0037572	Drosophila melanogaster
CG11709	PGRP-SA	FBgn0030310	Drosophila melanogaster
CG1171	Akh	FBgn0004552	Drosophila melanogaster
CG11720	Sgs3	FBgn0003373	Drosophila melanogaster
CG11748	Obp19a	FBgn0031109	Drosophila melanogaster
CG1176	Obp84a	FBgn0011282	Drosophila melanogaster
CG11775	Ir85a	FBgn0037630	Drosophila melanogaster
CG11785	bai	FBgn0045866	Drosophila melanogaster
CG11786	CG11786	FBgn0039264	Drosophila melanogaster
CG1179	LysB	FBgn0004425	Drosophila melanogaster
CG11790	CG11790	FBgn0039265	Drosophila melanogaster
CG11797	Obp56a	FBgn0034468	Drosophila melanogaster
CG11799	FoxK	FBgn0036134	Drosophila melanogaster
CG1180	LysE	FBgn0004428	Drosophila melanogaster
CG11816	CG11816	FBgn0030495	Drosophila melanogaster
CG11822	nAChRbeta3	FBgn0031261	Drosophila melanogaster
CG11841	CG11841	FBgn0039628	Drosophila melanogaster
CG11842	CG11842	FBgn0039629	Drosophila melanogaster
CG11843	CG11843	FBgn0039630	Drosophila melanogaster
CG11852	CG11852	FBgn0039297	Drosophila melanogaster
CG11853	to	FBgn0039298	Drosophila melanogaster
CG11854	CG11854	FBgn0039299	Drosophila melanogaster
